id;N. PG Atto;Anno PG Atto;Classificazione incarico;Descrizione incarico;Data inizio incarico;Data fine incarico;Durata incarico (gg);Compenso previsto (Euro);Struttura conferente;Responsabile della struttura conferente
477;222629;2018;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-08-06;2018-06-08;1;247.6;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
479;;;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-01-10;2019-12-20;;1487.8;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
481;178985;2015;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-06-29;2015-07-02;4;792.32;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
482;212985;2015;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-07-17;2015-07-17;1;297.12;AREA PERSONALE E ORGANIZZAZIONE;MARIA GIOVANNA GHELFI
485;289721;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-01-10;2018-12-20;;1719.46;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
488;272758;2021;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2021-06-24;2021-06-24;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;Daniela Gemelli
489;272758;2021;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2021-07-09;2021-09-16;2;0.0;AREA PERSONALE E ORGANIZZAZIONE;Daniela Gemelli
495;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
499;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
700;401322;2021;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2021-01-10;2021-12-23;;2868.58;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR.SSA SILVIA MARREDDU
703;;;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-11-11;2019-11-14;2;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
704;401322;2021;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2021-01-10;2021-12-23;;2868.58;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR.SSA SILVIA MARREDDU
735;;;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-11-21;2019-11-21;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
738;;;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-11-14;2019-11-14;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
739;;;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-11-26;2019-11-26;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
752;6853;2019;Z1;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2020-07-01;2020-05-29;;750.0;ISTITUZIONE EDUCAZIONE E SCUOLA;POMPILIA PEPE
753;401394;2017;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2017-11-23;2017-12-06;4;396.16;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
755;441319;2018;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-06-12;2018-12-06;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;
759;441319;2018;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-11-20;2018-11-20;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
760;441319;2018;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-06-12;2018-12-06;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
761;441319;2018;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-11-15;2018-11-15;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
790;502493;2021;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2022-01-14;2022-01-14;;0.0;AREA PERSONALE E ORGANIZZAZIONE;DANIELA GEMELLI
795;415446;2017;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-10-01;2018-02-27;6;0.0;AREA PERSONALE E ORGANIZZAZIONE;Mariagrazia Bonzagni
803;;;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2020-01-15;2020-01-29;2;297.12;AREA PERSONALE E ORGANIZZAZIONE;Daniela Gemelli
813;;;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2020-02-13;2020-02-13;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;Daniela Gemelli
315;375461;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-04-06;2024-08-04;;731.68;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
317;375461;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-04-06;2024-08-04;;731.68;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
324;9773;2021;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2021-04-02;2021-02-04;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;DANIELA GEMELLI
326;9773;2021;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2021-04-02;2021-02-04;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;DANIELA GEMELLI
331;39665;2021;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2021-02-03;2021-03-02;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;DANIELA GEMELLI
337;39665;2021;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2021-02-03;2021-03-02;1;0.0;AREA PERSONALE E ORGANIZZAZIONE;DANIELA GEMELLI
358;237932;2019;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-01-10;2019-12-20;;1487.8;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
364;237932;2019;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-01-10;2019-12-20;;1487.8;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
371;237932;2019;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-01-10;2019-12-20;;1487.8;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
374;237932;2019;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-01-10;2019-12-20;;1487.8;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
427;226391;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-01-10;2018-12-20;;1719.46;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
429;226391;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-01-10;2018-12-20;;1719.46;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
433;132265;2016;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2016-05-16;2016-06-16;;796.15;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
434;226391;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-01-10;2018-12-20;;1719.46;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
442;226391;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-01-10;2018-12-20;;1719.46;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
444;226391;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-01-10;2018-12-20;;1719.46;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
445;132265;2016;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2016-05-16;2016-06-16;;796.15;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
446;226391;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-01-10;2018-12-20;;1719.46;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
447;132265;2016;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2016-05-16;2016-06-16;;796.15;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
492;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
501;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
502;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
508;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
509;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
511;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
515;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
517;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
518;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
519;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
528;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
529;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
530;602005;2024;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2024-10-09;2024-12-23;;1750.0;AREA PROGRAMMAZIONE, STATISTICA E PRESIDIO SISTEMI DI CONTROLLO INTERNI;DR.SSA SILVIA MARREDDU
531;27050;2016;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2016-10-02;2016-02-10;1;198.08;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
537;235199;2016;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2016-07-18;2016-07-22;3;396.16;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
539;239707;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-10-16;2015-12-10;;854.4;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;dr. Franco Chiarini
541;347703;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-01-10;2018-12-20;;1719.46;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
542;347703;2018;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2018-01-10;2018-12-20;;1719.46;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
544;239707;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-10-16;2015-12-10;;854.4;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
545;239707;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-10-16;2015-12-10;;854.4;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DOTT. FRANCO CHIARINI
546;239707;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-10-16;2015-12-10;;854.4;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DOTT. FRANCO CHIARINI
547;239707;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-10-16;2015-12-10;;854.4;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
551;240637;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-09-16;2015-10-15;;943.4;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
553;240637;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-09-16;2015-10-15;;943.4;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
554;240637;2015;Z5;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2015-09-16;2015-10-15;;943.4;AREA PROGRAMMAZIONE CONTROLLI E STATISTICA;DR. FRANCO CHIARINI
556;;;Z2;"Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Collaborazioni coordinate e continuative.; Incarichi di docenza e formazione rivolti a personale interno all' Amministrazione. Consulenze specialistiche.; altri incarichi rivolti a personale interno. Consulenze specialistiche";2019-10-09;2019-10-15;3;693.28;AREA PERSONALE E ORGANIZZAZIONE;MARIAGRAZIA BONZAGNI
